Модель,Период,Действие
Bar-Led,30 дней,"Неделя 1-2: Стандартизация меню (11 обязательных сортов пива, 5 видов коктейлей). Фиксирование рецепт и наценок (пиво: +55%, коктейли: +75%)"
Bar-Led,30 дней,"Неделя 2: Запуск Happy Hours (пт-сб 17-19ч: пиво -20%, коктейль -15%). Прогноз: +40% в эти часы"
Bar-Led,30 дней,"Неделя 3: Обучение персонала (бармены, официанты) на технику сервиса и рекомендаций. Тест на знание меню"
Bar-Led,30 дней,"Неделя 4: Запуск пластиковой карты лояльности (1 чек = 10 баллов, 100 = бесплатный коктейль). Первые 100 карт раздать первым клиентам. Цель: baseline data собрать"
Bar-Led,60 дней,"Неделя 5-6: Анализ данных (какие напитки продаются, какой средний чек по часам). Оптимизация меню (убрать неликвид, добавить подобные хитам)"
Bar-Led,60 дней,Неделя 7: Запуск live music (дж-блюз пт-сб 21:00-23:00). Прогноз: +30-50% трафика в эти вечера. Cost: 2-5к с музыкантов
Bar-Led,60 дней,Неделя 8: Переход на цифровую карту лояльности (QR → мобильное приложение). Push-уведомления о Happy Hours (+20% конверсия)
Bar-Led,60 дней,"Метрика на 60 дн: Количество чеков +15-20%, средний чек +10%, retention rate 55%+"
Bar-Led,90 дней,Неделя 9-10: Реферальная программа (приведи друга → оба получают -200р бонус на счёт). Прогноз: +25% новых клиентов
Bar-Led,90 дней,"Неделя 11: Партнёрские события (Спортивная трансляция + специальное меню, День пива, Тематический вечер). Прогноз: +40-60% в эти дни"
Bar-Led,90 дней,"Неделя 12: Анализ юнит-экономики. Целевые метрики: средний чек 1000р, маржа 55-60%, месячный дохо 3.4млн, окупаемость 24-36 месяцев"
Bar-Led,90 дней,"Выход на стабильность: CAC ~150-250р, LTV 2500-4500р (отношение 10-15:1)"
Lunch & Routine,30 дней,"Неделя 1-2: Стандартизация бизнес-ланча (сет: первое + основное + гарнир = фиксированная цена 300-350р, маржа 55%). Прогноз: 100-150 ланчей в день"
Lunch & Routine,30 дней,Неделя 2: Обучение команды на speed-обслуживание (цель: 3 минуты от заказа до подачи). Время = конкурентное преимущество
Lunch & Routine,30 дней,Неделя 3: Запуск SMS-рассылок меню дня (10:30 клиентам из CRM + скидка на первый заказ -10%). Целевая конверсия 25%
Lunch & Routine,30 дней,"Неделя 4: Подключение Яндекс.Еды для ланчей (с целью показать, что быстрее заказать в ресторане). Первую неделю комиссия согласовать"
Lunch & Routine,60 дней,Неделя 5-6: Корпоративные договоры (визит в 5-10 ближайших офисов + презентация ланч-меню). Целевой KPI: 2 контракта на 50-100 человек
Lunch & Routine,60 дней,"Неделя 7: Внедрение QR-сервиса (заказ через телефон, быстрая оплата). Прогноз: -30% времени на обслуживание, +15% среднего чека (дополнительные покупки)"
Lunch & Routine,60 дней,Неделя 8: Программа лояльности (электронная карта: 10 ланчей = 1 бесплатный). Целевой показатель: 200 активных карт
Lunch & Routine,60 дней,"Метрика на 60 дн: 120-150 ланчей/день, средний чек 500р, маржинальная прибыль 0.5млн/месяц"
Lunch & Routine,90 дней,Неделя 9-10: Реф-программа для корпоративных клиентов (рекомендуй другой офис → скидка 5% на меню). Прогноз: +20-30% новых корпоративных клиентов
